,urls,address,m2,rooms,toilets,prices,latitude,longitude
248,https://www.portalinmobiliario.com/MLC-541672222-san-isidro-154-santiago-chile-_JM#position=27&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," San Isidro 154, Santiago, Chile, Santiago ",30,1,1,250000,-33.445214239130436,-70.64425175652174
252,https://www.portalinmobiliario.com/MLC-541523231-av-holanda-1297-providencia-chile-_JM#position=31&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Av. Holanda 1297, Providencia, Chile, Providencia ",78,2,2,630000,-33.43082375,-70.6007545952989
259,https://www.portalinmobiliario.com/MLC-541328346-carcel-620-valparaiso-chile-_JM#position=38&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Cárcel 620, Valparaíso, Chile, Valparaíso ",91,2,2,470000,-33.046692,-71.6289999
262,https://www.portalinmobiliario.com/MLC-541579977-irarrazaval-870-nunoa-chile-_JM#position=41&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Irarrázaval 870, Ñuñoa, Chile, Ñuñoa ",50,2,2,410000,-33.4541894,-70.604972
263,https://www.portalinmobiliario.com/arriendo/departamento/san-miguel-metropolitana/5641474-arcangel-1200-uda#position=42&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Arcangel 1200, San Miguel ",51,2,2,460000,-33.4884672,-70.65292479
267,https://www.portalinmobiliario.com/MLC-541300029-diagonal-cervantes-759-santiago-chile-_JM#position=47&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Diagonal Cervantes 759, Santiago, Chile, Santiago ",41,1,1,240000,-33.4345317,-70.6493747
268,https://www.portalinmobiliario.com/MLC-540823176-avenida-pocuro-2905-providencia-chile-_JM#position=48&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Avenida Pocuro 2905, Providencia, Chile, Providencia ",77,2,2,740000,-33.4362095,-70.6078888
269,https://www.portalinmobiliario.com/MLC-541602230-lord-cochrane-209-santiago-chile-_JM#position=49&type=item&tracking_id=c74cc2d4-8cd6-47cd-81b3-32a1592c4652," Lord Cochrane 209, Santiago, Chile, Santiago ",30,1,1,199000,-33.4494469,-70.65516594311204
272,https://www.portalinmobiliario.com/MLC-541523689-avenida-almirante-blanco-encalada-1771-santiago-chile-_JM#position=2&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Avenida Almirante Blanco Encalada 1771, Santiago, Chile, Santiago ",4,1,1,249000,-33.457496,-70.6663994
277,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5717205-san-martin-898-departamento-1301-uda#position=8&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," San Martín 898 - Departamento 1301, Santiago ",51,3,2,400000,-3.1851515,-77.7995614
278,https://www.portalinmobiliario.com/MLC-541150528-merced-691-santiago-chile-_JM#position=9&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Merced 691, Santiago, Chile, Santiago ",49,2,1,395000,-33.437939254545455,-70.64668920000001
279,https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/5748852-irarrazaval-uda#position=10&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Irarrazaval, Ñuñoa ",62,2,2,470000,-33.4549221,-70.628254
280,https://www.portalinmobiliario.com/MLC-541115930-argomedo-65-santiago-chile-_JM#position=11&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Argomedo 65, Santiago, Chile, Santiago ",49,2,2,400000,-33.4489962137931,-70.63277778965518
281,https://www.portalinmobiliario.com/arriendo/departamento/vina-del-mar-valparaiso/5732960-avenida-peru-uda#position=12&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Avenida Peru, Viña Del Mar ",100,4,3,500000,-33.017352,-71.5599605
283,https://www.portalinmobiliario.com/MLC-541110307-avenida-las-condes-14701-las-condes-chile-_JM#position=14&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Avenida Las Condes 14701, Las Condes, Chile, Las Condes ",85,3,2,600000,-33.4084548,-70.5671489
284,https://www.portalinmobiliario.com/MLC-541584039-san-isidro-234-santiago-chile-_JM#position=15&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," San Isidro 234, Santiago, Chile, Santiago ",29,1,1,250000,-33.4463468,-70.6439886
285,https://www.portalinmobiliario.com/arriendo/departamento/estacion-central-metropolitana/5768185-padre-alberto-hurtado-0131-uda#position=16&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Padre Alberto Hurtado 0131, Estación Central ",64,3,2,355000,-33.4616613,-70.687339
286,https://www.portalinmobiliario.com/arriendo/departamento/san-miguel-metropolitana/5536940-metro-ciudad-del-nino-uda#position=17&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Metro Ciudad Del Nino, San Miguel ",47,2,2,300000,-33.5024426,-70.6546219
289,https://www.portalinmobiliario.com/MLC-541676383-lord-cochrane-173-santiago-chile-_JM#position=20&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Lord Cochrane 173, Santiago, Chile, Santiago ",40,1,1,310000,-33.448370275,-70.655019475
293,https://www.portalinmobiliario.com/MLC-541443096-nueva-bueras-178-santiago-chile-_JM#position=24&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," Nueva Bueras 178, Santiago, Chile, Santiago ",47,1,1,550000,-33.43742843333334,-70.63844666666667
294,https://www.portalinmobiliario.com/MLC-541112830-san-jorge-60-nunoa-chile-_JM#position=25&type=item&tracking_id=2df0cc4e-9dc2-428c-95fe-cecd9a2e875d," San Jorge 60, Ñuñoa, Chile, Ñuñoa ",40,1,1,400000,-33.4541894,-70.604972
